DOG_ID,mAP,Total_Vids,Query_Vids,Gallery_Vids,Avg_Resolution,Avg_Width,Avg_Height,Avg_Duration_Sec
54279498-13eb-4742-956e-0c5eb9f79d6a,0.6108079320035842,5,3,2,1584x1416,1584.0,1416.0,12.68
4465c22c-f540-4a3e-87f2-5ae5383699b9,0.6099562810226452,5,2,3,1008x1792,1008.0,1792.0,13.1
63f719a9-39be-4b8c-bde6-c2c28b94f9e6,0.606575700080602,5,3,2,480x848,480.0,848.0,4.88
b89313a9-0fb0-474e-9b69-795b0767c5d8,0.6058367381176848,10,2,8,1080x1920,1080.0,1920.0,10.47
a3104035-c9fb-4e93-8b69-f18e0ba5b426,0.605769506229065,5,4,1,964x1534,964.0,1534.0,12.7
eced3648-89e8-4fe9-9296-970b3dee6458,0.6054150647900648,5,3,2,1080x1920,1080.0,1920.0,8.79
9b76415a-566c-4476-9722-e2381b724e89,0.6028998856320839,7,2,5,977x1737,977.0,1737.0,5.71
46873fb8-969a-460b-bf4c-becd89cfe379,0.6013290715600395,8,3,5,765x1360,765.0,1360.0,4.36
5a398e3b-d3d8-4f2b-9de8-ab2e9ad4099d,0.5978794840636945,5,3,2,790x1408,790.0,1408.0,25.63
4e1b7f97-8205-4419-b123-abdd52ab1d26,0.5967086834733893,3,2,1,640x1136,640.0,1136.0,15.35
d43d5070-2998-4f32-997c-b3756f7c72dc,0.5965573183422528,5,3,2,1080x1920,1080.0,1920.0,12.29
e8505687-5baf-4ea4-8b85-3a358b880bec,0.5954801933104824,5,2,3,1008x1792,1008.0,1792.0,18.47
60fd9521-6fe5-45b5-a695-ead78cbb1c49,0.5945670153320936,5,3,2,720x1280,720.0,1280.0,21.55
6ab9f701-e577-4150-9c53-615f048fb24e,0.5923449743441624,6,2,4,1560x1500,1560.0,1500.0,5.39
8cc4ded5-1504-4137-b769-b68cd9a7572e,0.585366739288308,4,3,1,990x1760,990.0,1760.0,6.7
4681fc9a-2ae7-483b-b5dd-357c7c9f7000,0.5772508337111398,6,4,2,780x1387,780.0,1387.0,6.05
31c5d2db-d329-4ed6-900f-d82342700f4e,0.5766436073668815,6,3,3,989x1380,989.0,1380.0,7.21
3f25e78a-6127-4840-b386-1fc7ac3e380a,0.5749666305916306,4,2,2,1080x2400,1080.0,2400.0,9.68
61837026-3c6f-41ba-9526-3df758f2c803,0.5695156233886287,6,2,4,813x1187,813.0,1187.0,8.37
